#EN-UCDlist-v1.5-2023-01-25
# This file contains lists suggested replacements for UCD1+ which are deprecated
# deprecated_term  replacement_term
em.IR.K.Brgamma em.line.Brgamma
src.fwhm phys.angSize;src
src.orbital.veloc phys.veloc.orbital
src.veloc phys.veloc
src.veloc.ang phys.veloc.ang
src.veloc.cmb phys.veloc;pos.cmb
src.veloc.dispersion phys.veloc.dispersion
src.veloc.escape phys.veloc.escape
src.veloc.expansion phys.veloc.expansion
src.veloc.lg phys.veloc;pos.lg
src.veloc.lsr phys.veloc;pos.lsr
src.veloc.microTurb phys.veloc.microTurb
src.veloc.pulsat phys.veloc.pulsat
src.veloc.rotat phys.veloc.rotat
phys.mass.light phys.composition.massLightRatio
pos.satellite pos.bodyrc
phot.fluxDens phot.flux.density
phot.fluxDens.sb phot.flux.density.sb
phys.at phys.atmol
phys.atmol.coll phys.atmol.collisional
phys.atmol.ion phys.atmol.ionStage
phys.atmol.trans phys.atmol.transition
phys.energyDensity phys.energy.density
phys.massToLight phys.composition.massLightRatio
phys.massYield phys.composition.yield
spect.doppler spect.dopplerParam
phys.at.collStrength phys.atmol.collStrength
phys.at.damping phys.damping
phys.at.lande phys.atmol.lande
phys.at.number phys.atmol.number
phys.at.oscStrength phys.atmol.oscStrength
phys.at.qn phys.atmol.qn
phys.at.qn.I phys.atmol.qn
phys.at.radiationType phys.atmol.radiationType
phys.at.term phys.atmol.term
phys.at.transProb phys.atmol.transProb
phys.at.wOscStrength phys.atmol.wOscStrength
phys.at.weight phys.atmol.weight
phys.atmol.damping phys.damping
phys.atmol.qn.I phys.atmol.qn
phys.mol.qn phys.atmol.qn
time.event time.duration
time.event.start time.start
time.event.end time.end
time.expo time.duration;obs.exposure
time.expo.end time.end;obs.exposure
time.expo.start time.start;obs.exposure
time.obs time.duration;obs
time.obs.end time.end;obs
time.obs.start time.start;obs
#Changes from 1.23 to 1.3
em.UV.FUV em.UV.100-200nm
meta.ref.ivorn meta.ref.ivoid
pos.bodyrc.long pos.bodyrc.lon
pos.eop.nutation pos.nutation
# This file distributed under CC-0 by the IVOA.
